"","sim_i","t","out","in"
"1167",1,1,891,212
"1168",1,1,954,212
"1169",1,1,647,213
"1170",1,1,245,214
"1171",1,1,261,214
"1172",1,1,931,214
"1173",1,1,471,215
"1174",1,1,537,215
"1175",1,1,781,215
"1176",1,1,857,215
"1177",1,1,989,215
"1178",1,1,241,216
"1179",1,1,303,216
"1180",1,1,319,216
"1181",1,1,664,216
"1182",1,1,717,216
"1183",1,1,765,216
"1184",1,1,774,216
"1185",1,1,932,216
"1186",1,1,536,217
"1187",1,1,612,217
"1188",1,1,800,217
"1189",1,1,962,217
"1190",1,1,246,218
"1191",1,1,467,218
"1192",1,1,677,218
"1193",1,1,843,218
"1194",1,1,921,218
"1195",1,1,990,218
"1196",1,1,247,219
"1197",1,1,263,219
"1198",1,1,317,219
"1199",1,1,565,219
"1200",1,1,574,219
"1201",1,1,796,219
"1202",1,1,317,220
"1203",1,1,350,220
"1204",1,1,397,220
"1205",1,1,454,220
"1206",1,1,770,220
"1207",1,1,893,220
"1208",1,1,343,221
"1209",1,1,375,221
"1210",1,1,955,221
"1211",1,1,998,221
"1212",1,1,309,222
"1213",1,1,422,222
"1214",1,1,424,222
"1215",1,1,429,222
"1216",1,1,452,222
"1217",1,1,446,223
"1218",1,1,490,223
"1219",1,1,580,223
"1220",1,1,995,223
"1221",1,1,287,224
"1222",1,1,317,224
"1223",1,1,550,224
"1224",1,1,716,224
"1225",1,1,851,224
"1226",1,1,877,224
"1227",1,1,966,224
"1228",1,1,961,225
"1229",1,1,242,226
"1230",1,1,307,226
"1231",1,1,629,226
"1232",1,1,723,226
"1233",1,1,418,227
"1234",1,1,519,227
"1235",1,1,626,228
"1236",1,1,642,228
"1237",1,1,726,228
"1238",1,1,755,228
"1239",1,1,866,228
"1240",1,1,905,228
"1241",1,1,345,229
