,sim_i,t,source,target
28437,1,19,1260,786
28438,1,19,1537,786
28439,1,19,1847,786
28440,1,19,2608,789
28441,1,19,2257,790
28442,1,19,2329,791
28443,1,19,2984,796
28444,1,19,1789,798
28445,1,19,2009,799
28446,1,19,1675,800
28447,1,19,922,801
28448,1,19,973,801
28449,1,19,1300,802
28450,1,19,2799,802
28451,1,19,1729,803
28452,1,19,2741,803
28453,1,19,1430,804
28454,1,19,2385,804
28455,1,19,2295,806
28456,1,19,2161,807
28457,1,19,1540,808
28458,1,19,1852,810
28459,1,19,1144,811
28460,1,19,2828,811
28461,1,19,2691,815
28462,1,19,2104,816
28463,1,19,2618,816
28464,1,19,2323,818
28465,1,19,2569,818
28466,1,19,2329,819
28467,1,19,2778,819
28468,1,19,900,822
28469,1,19,1896,824
28470,1,19,873,825
28471,1,19,1395,826
28472,1,19,2475,827
28473,1,19,2128,829
28474,1,19,2201,829
28475,1,19,2545,829
28476,1,19,2928,829
28477,1,19,1418,830
28478,1,19,2810,830
28479,1,19,1964,831
28480,1,19,2965,831
28481,1,19,1920,832
28482,1,19,2035,834
28483,1,19,1310,836
28484,1,19,2043,836
28485,1,19,2259,836
28486,1,19,2428,836
28487,1,19,2230,837
28488,1,19,2426,837
28489,1,19,1575,838
28490,1,19,1145,839
28491,1,19,934,842
28492,1,19,1167,842
28493,1,19,2654,842
28494,1,19,2960,842
28495,1,19,2600,845
28496,1,19,1465,848
28497,1,19,1853,850
28498,1,19,2097,850
28499,1,19,2570,850
28500,1,19,980,851
28501,1,19,1584,851
28502,1,19,1623,852
28503,1,19,1224,854
28504,1,19,2847,854
28505,1,19,1805,855
28506,1,19,2461,855
28507,1,19,1652,856
28508,1,19,1769,856
28509,1,19,2049,857
28510,1,19,1447,859
28511,1,19,2415,860
28512,1,19,918,861
28513,1,19,2428,861
28514,1,19,1477,862
28515,1,19,1965,865
28516,1,19,1123,867
28517,1,19,1307,867
28518,1,19,2701,867
28519,1,19,2177,868
28520,1,19,1777,870
28521,1,19,2240,870
28522,1,19,2981,870
28523,1,19,1890,871
28524,1,19,1063,872
28525,1,19,1044,874
28526,1,19,1387,874
28527,1,19,2056,874
28528,1,19,2901,874
28529,1,19,1252,875
28530,1,19,1329,879
28531,1,19,1954,879
28532,1,19,2206,880
28533,1,19,1990,881
28534,1,19,1227,882
28535,1,19,2639,882
28536,1,19,979,884
28537,1,19,1046,884
28538,1,19,1290,884
28539,1,19,2045,884
28540,1,19,2666,885
28541,1,19,2897,885
28542,1,19,2752,886
28543,1,19,1726,890
28544,1,19,1876,890
28545,1,19,1015,892
28546,1,19,1399,892
